"会社コード","請求相手先コード","請求相手先略称","請求先部署コード","請求先部署名","請求先部署略称"
"A1","000003","テレビ朝日映像","001001","第１制作局","第１制作局"
"A1","000003","テレビ朝日映像","002001","第２制作局","第２制作局"
"A1","000003","テレビ朝日映像","004001","制作技術局","制作技術局"
"A1","000003","テレビ朝日映像","004002","制作技術局（映像取材部）","映像取材部"
"A1","000003","テレビ朝日映像","004004","制作技術局（映像編集部）","映像編集部"
"A1","000003","テレビ朝日映像","004005","制作技術局（アーカイブ部）","アーカイブ部"
"A1","000003","テレビ朝日映像","005001","ビジネス総局","ビジネス総局"
"A1","000003","テレビ朝日映像","007001","経営管理局業務部","業務部"
"A1","000003","テレビ朝日映像","007002","経営管理局業務部ライツ推進部","業務ライツ部"
"A1","000003","テレビ朝日映像","008001","経営管理局","経営管理局"
"A1","000003","テレビ朝日映像","008002","経理部","経理部"
"A1","000003","テレビ朝日映像","700001","第１制作局（業務）","第１制作業務"
"A1","000003","テレビ朝日映像","700002","第２制作局（業務）","第２制作業務"
"A1","000003","テレビ朝日映像","700004","制作技術局（業務）","制作技術業務"
"A1","000003","テレビ朝日映像","700005","ビジネス総局（業務）","ビジ総（業務"
"A2","000004","テレビ朝日クリエイト","001001","総務部","総務部"
"A2","000004","テレビ朝日クリエイト","001002","経理部","経理部"
"A2","000004","テレビ朝日クリエイト","002005","美術制作局　局付","美術制作局付"
"A2","000004","テレビ朝日クリエイト","002001","美術制作部","美術制作部"
"A2","000004","テレビ朝日クリエイト","002002","デザイン部","デザイン部"
"A2","000004","テレビ朝日クリエイト","002004","管理事業部","管理事業部"
"A2","000004","テレビ朝日クリエイト","003005","ＣＧ制作局　局付","ＣＧ制作局付"
"A2","000004","テレビ朝日クリエイト","003001","ＣＧ制作部","ＣＧ制作部"
"A2","000004","テレビ朝日クリエイト","003002","ＣＧシステム部","ＣＧシステム"
"A2","000004","テレビ朝日クリエイト","003003","４ｄ","４ｄ"
"A2","000004","テレビ朝日クリエイト","003004","字幕制作部","字幕制作部"
"A2","000004","テレビ朝日クリエイト","004001","営業戦略室員","営業戦略室員"
"A3","000016","テイクシステムズ","011010","総務","総務"
"A3","000016","テイクシステムズ","011011","総務（原価）","総務（原価）"
"A3","000016","テイクシステムズ","021010","営業","営業"
"A3","000016","テイクシステムズ","021020","営業（管理）","営業（管理）"
"A3","000016","テイクシステムズ","022010","スタジオサービス部","ＳＴサービス"
"A3","000016","テイクシステムズ","022020","スタジオサービス部（管理）","ＳＴサービ管"
"A3","000016","テイクシステムズ","031010","技術","技術"
"A3","000016","テイクシステムズ","031020","技術（管理）","技術（管理）"
"A3","000016","テイクシステムズ","032010","ＳＶＣグループ","ＳＶＣ"
