"会社コード","請求相手先コード","請求相手先略称","請求内容コード","請求種別","請求内容名","相手先部署名","請求元部署名"
"A1","000003","テレビ朝日映像","0000289","一般","プロジェクト（一般）","",""
"A1","000003","テレビ朝日映像","0000291","一般","経費その他（一般）","",""
"A1","000003","テレビ朝日映像","0100006","一般","コンテンツ事業データ取込（商品仕入）","経理部",""
"A2","000004","テレビ朝日クリエイト","0000293","一般","プロジェクト（一般）","",""
"A2","000004","テレビ朝日クリエイト","0000295","一般","経費その他（一般）","",""
"A2","000004","テレビ朝日クリエイト","0100002","一般","コンテンツ事業データ取込（商品仕入）","経理部",""
"A3","000016","テイクシステムズ","0000297","一般","プロジェクト（一般）","",""
"A3","000016","テイクシステムズ","0000299","一般","経費その他（一般）","",""
"A4","000010","ビデオ・パック・ニッポン","0000301","一般","プロジェクト（一般）","",""
"A4","000010","ビデオ・パック・ニッポン","0000303","一般","経費その他（一般）","",""
"A4","000010","ビデオ・パック・ニッポン","0100007","一般","コンテンツ事業データ取込（商品仕入）","経理",""
"A6","000018","トラストネットワーク","0000311","一般","経費その他（一般）","",""
"A7","000013","放送技術社","0000315","一般","経費その他（一般）","",""
"A8","000002","テレビ朝日サービス","0000317","一般","プロジェクト（一般）","",""
"A8","000002","テレビ朝日サービス","0000319","一般","経費その他（一般）","",""
"A8","000002","テレビ朝日サービス","0100008","一般","コンテンツ事業データ取込（商品仕入）","経理部",""
"B1","000006","ロッピングライフ","0000321","一般","プロジェクト（一般）","",""
"B1","000006","ロッピングライフ","0000323","一般","経費その他（一般）","",""
"B1","000006","ロッピングライフ","0100001","一般","コンテンツ事業データ取込（商品仕入）","経理",""
"B2","012469","テレビ朝日アスク","0000325","一般","プロジェクト（一般）","",""
"B2","012469","テレビ朝日アスク","0000327","一般","経費その他（一般）","",""
"B2","012469","テレビ朝日アスク","0100009","一般","コンテンツ事業データ取込（商品仕入）","事業統括",""
"B3","016735","テレビ朝日ベスト","0000329","一般","プロジェクト（一般）","",""
"B3","016735","テレビ朝日ベスト","0000331","一般","経費その他（一般）","",""
"B4","000005","テレビ朝日ミュージック","0000335","一般","経費その他（一般）","",""
"B4","000005","テレビ朝日ミュージック","0100010","一般","コンテンツ事業データ取込（商品仕入）","経理課",""
"B6","013156","テレビ朝日メディアプレックス","0000341","一般","プロジェクト（一般）","",""
"B6","013156","テレビ朝日メディアプレックス","0000343","一般","経費その他（一般）","",""
"B7","000021","フレックス","0000347","一般","経費その他（一般）","",""
"B7","000021","フレックス","0100011","一般","コンテンツ事業データ取込（商品仕入）","経理部",""
"B8","000011","日本ケーブルテレビジョン","0000349","一般","プロジェクト（一般）","",""
"B8","000011","日本ケーブルテレビジョン","0000351","一般","経費その他（一般）","",""
"B8","000011","日本ケーブルテレビジョン","0100012","一般","コンテンツ事業データ取込（商品仕入）","経理担当",""
"B9","001903","シンエイ動画","0000353","一般","プロジェクト（一般）","",""
"B9","001903","シンエイ動画","0000355","一般","経費その他（一般）","",""
"B9","001903","シンエイ動画","0100013","一般","コンテンツ事業データ取込（商品仕入）","経理",""
"C2","015350","シーエス・ワンテン","0100004","一般","経費その他（一般）","",""
"C3","000022","ＢＳ朝日","0000402","一般","コンテンツ事業データ取込（商品仕入）","経営管理部",""
"C3","000022","ＢＳ朝日","0000600","一般","プロジェクト（一般）","",""
"C3","000022","ＢＳ朝日","0000601","一般","経費その他（一般）","",""
"C3","000022","ＢＳ朝日","0000604","一般","アナウンサー応援費","",""
"C3","000022","ＢＳ朝日","0000605","一般","番組制作費","",""
"C3","000022","ＢＳ朝日","0000606","一般","映像・素材使用料","",""
"C3","000022","ＢＳ朝日","0000607","一般","スタジオ使用料","経営管理部",""
"C3","000022","ＢＳ朝日","0000608","一般","会場・施設使用料","",""
"C3","000022","ＢＳ朝日","0000609","一般","駐車場代","",""
"C3","000022","ＢＳ朝日","0000610","一般","回線使用料","経営管理部",""
"C3","000022","ＢＳ朝日","0000611","一般","業務請負","",""
"C3","000022","ＢＳ朝日","0000612","一般","機械装置リース料","技術部",""
"C3","000022","ＢＳ朝日","0000613","一般","出向者給与戻入","経営管理部",""
"C3","000022","ＢＳ朝日","0000614","一般","出向者健保料戻入","経営管理部",""
"C3","000022","ＢＳ朝日","0000615","一般","出向者厚生年戻入","経営管理部",""
"C3","000022","ＢＳ朝日","0000616","一般","出向者児童手当拠出金戻入","経営管理部",""
"C3","000022","ＢＳ朝日","0000617","一般","出向者雇用保険料戻入","経営管理部",""
"C3","000022","ＢＳ朝日","0000618","一般","出向者介護保険料戻入","経営管理部",""
"C3","000022","ＢＳ朝日","0000619","一般","会議室貸室料","経営管理部",""
"C3","000022","ＢＳ朝日","0000620","一般","ライブラリー業務委託","編成制作部","アーカイブ"
"C3","000022","ＢＳ朝日","0000621","一般","賃借料","経営管理部","総務部"
"C3","000022","ＢＳ朝日","0000622","一般","電気・空調","経営管理部","総務部"
"C3","000022","ＢＳ朝日","0000623","一般","総務関連（入館証）","経営管理部","総務部"
"C3","000022","ＢＳ朝日","0000624","一般","森タワー１６階サーバーラック室賃料","経営管理部","総務部"
"C3","000022","ＢＳ朝日","0000625","一般","データ放送通信系サーバー運用費","編成制作部","Ｃ）コンテン"
"C3","000022","ＢＳ朝日","0000626","一般","放送マスター委託事業","技術部",""
"H0","020000","テレビ朝日ホールディングス","0000401","一般","コンテンツ事業データ取込（商品仕入）","経理部",""
"H0","020000","テレビ朝日ホールディングス","0100015","一般","経費その他（一般）","",""
